word,kana,desc,tags
げっそり,げっそり,"being disheartened, losing weight",JLPT_1
決断,けつだん,"decision, determination",JLPT_1
月賦,げっぷ,monthly installment,JLPT_1
欠乏,けつぼう,shortage,JLPT_1
蹴飛ばす,けとばす,"to kick away, to kick (someone)",JLPT_1
けなす,けなす,to speak ill of,JLPT_1
煙たい,けむたい,"smoky, feeling awkward",JLPT_1
煙る,けむる,"to smoke (e.g., fire)",JLPT_1
獣,けもの,"beast, brute",JLPT_1
家来,けらい,"retainer, retinue, servant",JLPT_1
下痢,げり,diarrhea,JLPT_1 Intermediate_Japanese_Ln.12
権威,けんい,"authority, power, influence",JLPT_1
兼業,けんぎょう,holding two jobs at the same time,JLPT_1 Intermediate_Japanese_Ln.14
原形,げんけい,"original form, base form",JLPT_1
原型,げんけい,"prototype, model, archetypal",JLPT_1
権限,けんげん,"power, authority, jurisdiction",JLPT_1
現行,げんこう,"present, current, in operation",JLPT_1
健在,けんざい,"in good health, well",JLPT_1
原作,げんさく,original work,JLPT_1
検事,けんじ,public prosecutor,JLPT_1
原子,げんし,atom,JLPT_1
元首,げんしゅ,"ruler, sovereign",JLPT_1
原書,げんしょ,original document,JLPT_1
懸賞,けんしょう,"offering prizes, winning, reward",JLPT_1
健全,けんぜん,"health, soundness, wholesome",JLPT_1
元素,げんそ,element,JLPT_1
同調,どうちょう,"sympathy, agree with, alignment",JLPT_1
到底,とうてい,(cannot) possibly,JLPT_1
動的,どうてき,"dynamic, kinetic",JLPT_1
尊い,とうとい,"precious, valuable, noble",JLPT_1
貴い,とうとい,"precious, valuable, noble",JLPT_1
同等,どうとう,"equality, equal, same rank",JLPT_1
堂々,どうどう,"magnificent, grand, impressive",JLPT_1
尊ぶ,とうとぶ,"to value, to prize, to esteem",JLPT_1
どうにか,どうにか,"in some way or other, one way or another",JLPT_1
投入,とうにゅう,"throw, investment, making (an electrical circuit)",JLPT_1
導入,どうにゅう,"introduction, bringing in, leading in",JLPT_1 Intermediate_Japanese_Ln.12
当人,とうにん,"the one concerned, the said person",JLPT_1
同封,どうふう,"enclosure (e.g., in a letter)",JLPT_1
逃亡,とうぼう,escape,JLPT_1
冬眠,とうみん,"hibernation, winter sleep",JLPT_1
同盟,どうめい,"alliance, union, league",JLPT_1
どうやら,どうやら,"it seems like, somehow or other",JLPT_1
動力,どうりょく,"power, motive power, dynamic force",JLPT_1
登録,とうろく,"registration, register, record",JLPT_1
討論,とうろん,discussion; debate,JLPT_1 Intermediate_Japanese_Ln.15
遠ざかる,とおざかる,to go far off,JLPT_1
遠回り,とおまわり,"detour, roundabout way",JLPT_1
トーン,トーン,tone,JLPT_1
とかく,とかく,"anyhow, anyway, in any case",JLPT_1
とがめる,とがめる,"to blame, to rebuke",JLPT_1
時折,ときおり,sometimes,JLPT_1
とぎれる,とぎれる,"to pause, to be interrupted",JLPT_1
研ぐ,とぐ,"to sharpen, to grind, to polish",JLPT_1
特技,とくぎ,special talent; skill,JLPT_1 Intermediate_Japanese_Ln.08
独裁,どくさい,"dictatorship, despotism",JLPT_1
特産,とくさん,"specialty, special product",JLPT_1
独自,どくじ,"original, peculiar, characteristic",JLPT_1
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",JLPT_1
独占,どくせん,monopoly,JLPT_1
独創,どくそう,originality,JLPT_1
得点,とくてん,"score, points made",JLPT_1
特派,とくは,"send specially, special envoy",JLPT_1
特有,とくゆう,"characteristic (of, peculiar (to))",JLPT_1
とげ (をさす),とげ (をさす),thorn,JLPT_1
遂げる,とげる,"to accomplish, to achieve, to carry out",JLPT_1
～どころか,～どころか,"rather, far from",JLPT_1
年頃,としごろ,"age, marriageable age, adolescence",JLPT_1
戸締り,とじまり,"closing up, locking the doors",JLPT_1
途上,とじょう,"en/in route, half way",JLPT_1
土台,どだい,"foundation, base, basis",JLPT_1
途絶える,とだえる,"to stop, to cease, to come to an end",JLPT_1
特許,とっきょ,"special permission, patent",JLPT_1
特権,とっけん,"privilege, special right",JLPT_1
とっさに,とっさに,at once,JLPT_1
突如,とつじょ,"suddenly, all of a sudden",JLPT_1
とって,とって,"handle, grip, knob",JLPT_1
突破,とっぱ,"breaking through, breakthrough, penetration",JLPT_1
土手,どて,"embankment, bank",JLPT_1
届,とどけ,"report, notification, registration",JLPT_1
滞る,とどこおる,"to stagnate, to be delayed",JLPT_1
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",JLPT_1
止める,とどめる,"to end, to stop, to cease, to resign",JLPT_1
唱える,となえる,"to recite, to chant, to call upon",JLPT_1
殿様,とのさま,feudal lord,JLPT_1
土俵,どひょう,arena,JLPT_1
扉,とびら,"door, opening",JLPT_1
溝,どぶ,"ditch, drain, gap",JLPT_1
徒歩,とほ,"walking, going on foot",JLPT_1
土木,どぼく,public works,JLPT_1
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",JLPT_1
乏しい,とぼしい,"meager, scarce, hard up, poor",JLPT_1
富,とみ,"wealth, fortune",JLPT_1
富む,とむ,"to be rich, to become rich",JLPT_1
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",JLPT_1
伴う,ともなう,"to accompany, to bring with",JLPT_1
共働き,ともばたらき,dual income (husband and wife both working),JLPT_1 Intermediate_Japanese_Ln.14
ドライ,ドライ,dry,JLPT_1
ドライクリーニング,ドライクリーニング,dry cleaning,JLPT_1
ドライバー,ドライバー,"driver, screwdriver",JLPT_1
ドライブイン,ドライブイン,drive in,JLPT_1
トラブル,トラブル,trouble (sometimes used as a verb),JLPT_1
トランジスター,トランジスター,transistor,JLPT_1
とりあえず,とりあえず,"at once, first of all, for the time being",JLPT_1
取扱,とりあつかい,"treatment, handling, management",JLPT_1
取り扱う,とりあつかう,"to treat, to handle, to deal in",JLPT_1
鳥居,とりい,Shinto shrine archway,JLPT_1
取り替え,とりかえ,"swap, exchange",JLPT_1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",JLPT_1
取締り,とりしまり,"control, crackdown, supervision",JLPT_1
取り締まる,とりしまる,"to crack down, to control, to supervise",JLPT_1
取り調べる,とりしらべる,"to investigate, to examine",JLPT_1
