一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
知らせる,しらせる,to inform,-,知らせない,知らせます,知らせる,知らせれば,知らせよう,知らせて,知らせた,知らせなかった,知らせなれる,知らせさせる,知らせられる,知らせろ
沈める,しずめる,to sink,-,沈めない,沈めます,沈める,沈めれば,沈めよう,沈めて,沈めた,沈めなかった,沈めなれる,沈めさせる,沈められる,沈めろ
静める,しずめる,"to calm, to quiet",-,静めない,静めます,静める,静めれば,静めよう,静めて,静めた,静めなかった,静めなれる,静めさせる,静められる,静めろ
育てる,そだてる,"to bring up, to raise",-,育てない,育てます,育てる,育てれば,育てよう,育てて,育てた,育てなかった,育てなれる,育てさせる,育てられる,育てろ
添える,そえる,"to attach, to garnish",-,添えない,添えます,添える,添えれば,添えよう,添えて,添えた,添えなかった,添えなれる,添えさせる,添えられる,添えろ
染める,そめる,"to dye, to color",-,染めない,染めます,染める,染めれば,染めよう,染めて,染めた,染めなかった,染めなれる,染めさせる,染められる,染めろ
背ける,そむける,to turn (one's face) away,-,背けない,背けます,背ける,背ければ,背けよう,背けて,背けた,背けなかった,背けなれる,背けさせる,背けられる,背けろ
供える,そなえる,to offer (to a god),-,供えない,供えます,供える,供えれば,供えよう,供えて,供えた,供えなかった,供えなれる,供えさせる,供えられる,供えろ
備える,そなえる,"to prepare, to be furnished with",-,備えない,備えます,備える,備えれば,備えよう,備えて,備えた,備えなかった,備えなれる,備えさせる,備えられる,備えろ
過ぎる,すぎる,"to pass, to exceed",-,過ぎない,過ぎます,過ぎる,過ぎれば,過ぎよう,過ぎて,過ぎた,過ぎなかった,過ぎなれる,過ぎさせる,過ぎられる,過ぎろ
優れる,すぐれる,to be excellent,-,優れない,優れます,優れる,優れれば,優れよう,優れて,優れた,優れなかった,優れなれる,優れさせる,優れられる,優れろ
擦り切れる,すりきれる,to be worn out,-,擦り切れない,擦り切れます,擦り切れる,擦り切れれば,擦り切れよう,擦り切れて,擦り切れた,擦り切れなかった,擦り切れなれる,擦り切れさせる,擦り切れられる,擦り切れろ
進める,すすめる,to advance,-,進めない,進めます,進める,進めれば,進めよう,進めて,進めた,進めなかった,進めなれる,進めさせる,進められる,進めろ
勧める,すすめる,to recommend,-,勧めない,勧めます,勧める,勧めれば,勧めよう,勧めて,勧めた,勧めなかった,勧めなれる,勧めさせる,勧められる,勧めろ
捨てる,すてる,"to throw away, to abadon",-,捨てない,捨てます,捨てる,捨てれば,捨てよう,捨てて,捨てた,捨てなかった,捨てなれる,捨てさせる,捨てられる,捨てろ
食べる,たべる,to eat,-,食べない,食べます,食べる,食べれば,食べよう,食べて,食べた,食べなかった,食べなれる,食べさせる,食べられる,食べろ
耐える,たえる,"to bear, to endure",-,耐えない,耐えます,耐える,耐えれば,耐えよう,耐えて,耐えた,耐えなかった,耐えなれる,耐えさせる,耐えられる,耐えろ
