不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
移植する,いしょくする,to transplant,-,移植しない,移植します,移植する,移植すれば,移植しよう,移植して,移植した,移植しなかった,移植される,移植させる,移植できる,移植しろ
移転する,いてんする,to move to,-,移転しない,移転します,移転する,移転すれば,移転しよう,移転して,移転した,移転しなかった,移転される,移転させる,移転できる,移転しろ
邪魔する,じゃまする,to interrupt,-,邪魔しない,邪魔します,邪魔する,邪魔すれば,邪魔しよう,邪魔して,邪魔した,邪魔しなかった,邪魔される,邪魔させる,邪魔できる,邪魔しろ
実験する,じっけんする,to experiment,-,実験しない,実験します,実験する,実験すれば,実験しよう,実験して,実験した,実験しなかった,実験される,実験させる,実験できる,実験しろ
自慢する,じまんする,"to boast, to be proud",-,自慢しない,自慢します,自慢する,自慢すれば,自慢しよう,自慢して,自慢した,自慢しなかった,自慢される,自慢させる,自慢できる,自慢しろ
自立する,じりつする,to become independent,-,自立しない,自立します,自立する,自立すれば,自立しよう,自立して,自立した,自立しなかった,自立される,自立させる,自立できる,自立しろ
自殺する,じさつする,"to kill oneself, to commit suicide",-,自殺しない,自殺します,自殺する,自殺すれば,自殺しよう,自殺して,自殺した,自殺しなかった,自殺される,自殺させる,自殺できる,自殺しろ
辞職する,じしょくする,to resign,-,辞職しない,辞職します,辞職する,辞職すれば,辞職しよう,辞職して,辞職した,辞職しなかった,辞職される,辞職させる,辞職できる,辞職しろ
実現する,じつげんする,to realize,-,実現しない,実現します,実現する,実現すれば,実現しよう,実現して,実現した,実現しなかった,実現される,実現させる,実現できる,実現しろ
譲歩する,じょうほする,"to concede, to compromise",-,譲歩しない,譲歩します,譲歩する,譲歩すれば,譲歩しよう,譲歩して,譲歩した,譲歩しなかった,譲歩される,譲歩させる,譲歩できる,譲歩しろ
熟達する,じゅくたつする,to master,-,熟達しない,熟達します,熟達する,熟達すれば,熟達しよう,熟達して,熟達した,熟達しなかった,熟達される,熟達させる,熟達できる,熟達しろ
準備する,じゅんびする,to prepare,-,準備しない,準備します,準備する,準備すれば,準備しよう,準備して,準備した,準備しなかった,準備される,準備させる,準備できる,準備しろ
カバーする,カバーする,to cover,-,カバーしない,カバーします,カバーする,カバーすれば,カバーしよう,カバーして,カバーした,カバーしなかった,カバーされる,カバーさせる,カバーできる,カバーしろ
バーブする,バーブする,to curve,-,バーブしない,バーブします,バーブする,バーブすれば,バーブしよう,バーブして,バーブした,バーブしなかった,バーブされる,バーブさせる,バーブできる,バーブしろ
改築する,かいちくする,to curve,-,改築しない,改築します,改築する,改築すれば,改築しよう,改築して,改築した,改築しなかった,改築される,改築させる,改築できる,改築しろ
回復する,かいふくする,"to get well, to recover",-,回復しない,回復します,回復する,回復すれば,回復しよう,回復して,回復した,回復しなかった,回復される,回復させる,回復できる,回復しろ
会議する,かいぎする,to hold a conference,-,会議しない,会議します,会議する,会議すれば,会議しよう,会議して,会議した,会議しなかった,会議される,会議させる,会議できる,会議しろ
開発する,かいはつする,"to develop, to exploit",-,開発しない,開発します,開発する,開発すれば,開発しよう,開発して,開発した,開発しなかった,開発される,開発させる,開発できる,開発しろ
改革する,かいかくする,to reform,-,改革しない,改革します,改革する,改革すれば,改革しよう,改革して,改革した,改革しなかった,改革される,改革させる,改革できる,改革しろ
